Designator,Mid X,Mid Y,Layer,Rotation
BTN_MINUS,65.41,11.43,Top,180.0
BTN_PLUS,65.41,19.69,Top,180.0
BTN_RESET,65.41,36.20,Top,180.0
BTN_STORE,65.41,27.94,Top,180.0
C1,24.77,26.04,Top,90.0
C2,24.77,30.48,Top,90.0
D3,25.40,13.97,Top,270.0
D4,25.40,46.99,Top,270.0
HR_SW,65.41,44.45,Top,270.0
R1,55.88,25.40,Top,90.0
R2,55.88,30.48,Top,90.0
R3,52.07,30.48,Top,90.0
R4,48.26,30.48,Top,90.0
R5,44.45,30.48,Top,90.0
R6,40.64,30.48,Top,90.0
R7,40.64,25.40,Top,270.0
R8,45.72,25.40,Top,90.0
R9,50.80,25.40,Top,90.0
R10,36.83,25.40,Top,90.0
U1,31.12,27.94,Top,0.0
